DATE,TICKER,fret1,fret2,fret3,fret4,fret5,fret6,fret7,fret8,fret9,fret10,fret11,fret12,roe,MKTCAP,SECTOR,B_P,E_P,roc,alpha1,alpha2,alpha3,alpha4
1/31/2014,AFG,0.040786599,0.009622113,0.012476174,-0.000855725,0.020212402,-0.059939557,0.071084122,-0.034684009,0.033511833,0.009359853,0.005464481,-0.0401011,-0.330774009,4915.34,40,0.851892,0.020327,-0.135845803,-0.13232503,0.016756023,-0.155223607,0.052667628
1/31/2014,AFL,0.020707232,-0.016229713,-0.005076142,-0.023756378,0.016658501,-0.040321285,0.025108805,-0.048824298,0.025407725,0,0.022769128,-0.065642026,0.336981457,29261.15,40,-0.399632,1.2572,0.508600494,0.318458762,0.248523151,0.797090811,0.382882755
1/31/2014,AGCO,-0.015938496,0.051067073,0.009789703,-0.031238779,0.041882876,-0.133582355,0.002668857,-0.069205569,-0.025296964,-0.04784473,0.07134392,-0.041151305,0.036915879,5192.153,20,2.417818,3,,0.286493196,0.709611415,1.518457939,1.372912539
1/31/2014,AGN,0.108202443,-0.022834646,0.33634166,0.009768452,0.010509973,-0.019855809,-0.013143615,0.088648583,0.066614288,0.125381459,-0.006077891,0.035468708,0.039406183,34054.81,35,-0.501926,-0.230428,-1.172568989,-0.064255338,-0.152092465,-0.095510898,-0.163385515
1/31/2014,AGNC,0.063961814,-0.035890534,0.056770591,0.044914135,-0.01348504,-0.012387868,0.022923875,-0.101479915,0.070117647,0.01473175,-0.053954496,-0.002811915,-0.158666313,7461.377,40,1.457956,2.823277,-0.723350879,0.411952172,0.667094439,1.33230547,0.99097511
1/31/2014,AHGP,-0.005277467,-0.001286174,0.075338055,-0.03742515,0.007620529,0.082883161,0.023660205,-0.049846839,0.006154748,-0.023740169,-0.090108906,-0.034268884,2.257186233,3743.233,10,-1.337582,0.376416,1.217149773,0.619090087,0.385013243,1.316800942,0.888301537
1/31/2014,AIG,0.037739783,0.004822182,0.062387523,0.017692453,0.009432218,-0.047636497,0.078491728,-0.036389583,-0.008330248,0.022960612,0.022080292,-0.127476175,-0.402194906,70613.74,40,2.297959,1.877165,-0.223799939,0.166852328,0.568995136,0.737484848,0.842683424
1/31/2014,AIV,0.068644977,0.011040482,0.020185308,0.02108336,0.025095299,0.0591881,0.002633119,-0.0714911,0.124764299,0.040793518,-0.002684564,0.072946438,0.507853653,4081.283,40,-1.234673,,-0.502033989,0.152674071,-0.063393653,0.253926826,-0.054741351
1/31/2014,AIZ,0.004284621,-0.010208746,0.037715517,0.005933838,-0.033328418,-0.033409611,0.053503788,-0.03670412,0.06096423,-0.009234828,0.012427874,-0.071899091,-0.363276662,4752.053,40,1.126983,1.265707,-0.157892481,0.078463637,0.275685648,0.451215074,0.416534102
1/31/2014,AJG,-0.000648929,0.02987013,-0.053804119,0.017992004,0.016801222,-0.034334764,0.049555556,-0.039593479,0.051587302,0.00524109,-0.0181439,-0.056287099,-0.06803082,6081.002,40,-0.893758,-0.303361,0.001639175,-0.098570488,-0.254978178,-0.185695714,-0.333295121
1/31/2014,AKAM,0.282088926,-0.047767054,-0.088300979,0.023930658,0.123665808,-0.033409761,0.023720773,-0.010261503,0.008361204,0.071475954,-0.025537842,-0.076318297,-0.232114202,8533.624,45,-0.004311,-0.424511,,-0.302058458,-0.302812961,-0.328312723,-0.223262773
1/31/2014,AL,0.173761118,0.009201624,-0.038079914,0.150264845,-0.064953951,-0.107050285,0.100145138,-0.142480211,0.125846154,0.039355015,-0.097817512,0.018360502,-0.48666577,3205.224,20,2.503023,0.217004,-0.521249646,-0.336047656,0.101981375,-0.134830829,0.436673903
1/31/2014,ALB,0.028201932,0.006516139,0.009334538,0.032070406,0.033386328,-0.142097902,0.03651777,-0.073608053,-0.008828523,0.011305242,0.01846206,-0.197405501,0.545098824,5224.207,15,-0.317198,0.92469,0.524752553,0.26383284,0.208323238,0.734894591,0.42442257
1/31/2014,ALGN,-0.119320094,-0.010319129,-0.027032246,0.083746775,0.02618568,-0.032655246,0.004611695,-0.05104664,0.018188855,0.081337894,-0.017398946,-0.05115364,-0.310414002,4772.54,35,-0.832077,-1.10285,,-0.207481496,-0.353095054,-0.706632319,-0.638939029
1/31/2014,ALK,0.095737954,0.076985226,0.008252063,0.046556122,-0.034633354,-0.074802735,0.053900387,-0.060422961,0.222553973,0.108961112,0.012366593,0.135709286,0.90372838,5435.746,20,0.144677,0.786777,0.747521043,0.400800931,0.426119463,0.845252628,0.68472774
1/31/2014,ALL,0.059765625,0.042757096,0.006539413,0.023002634,0.00789564,-0.004598093,0.052010265,-0.001951537,0.056705231,0.050886662,0.03081438,-0.006547392,-0.285298608,23288.24,40,0.746021,1.638878,-0.09733429,0.165511527,0.296065272,0.676789772,0.453575585
1/31/2014,ALNY,-0.028926608,-0.173559823,-0.262287757,0.197052292,0.065441053,-0.143311699,0.287395828,0.120998995,0.187451985,0.084213931,-0.035305818,-0.032680412,-2.921636388,5306.56,35,-1.304458,,,-0.660555317,-0.888835428,-1.460818194,-1.786932639
1/31/2014,ALR,-0.03060686,-0.065051715,-0.027656477,0.070958084,0.04612804,0.068947087,-0.11375,0.09393512,0.030685921,-0.002001501,-0.047380296,0.070789474,-1.410858227,3103.306,35,0.948151,,-0.577837991,-0.580982528,-0.415056049,-0.705429114,-0.468391286
1/31/2014,ALTR,0.086150165,-0.002065547,-0.102525183,0.018757688,0.049200121,-0.058688147,0.08007335,0.012450481,-0.03940749,0.094559209,-0.018075492,-0.10868943,-0.163968666,10623.02,45,0.107397,-0.152529,-0.012973065,-0.358279441,-0.339484981,-0.158249061,-0.093267469
1/31/2014,ALXN,0.113841114,-0.139536199,0.039900086,0.051327434,-0.060545936,0.017536,0.064783949,-0.020497371,0.154022434,0.018499164,-0.050641355,-0.009674107,-0.243600489,31122.89,35,-1.157037,-1.77849,0.039749693,0.061858153,-0.140623398,-1.011047528,-0.855683244
1/31/2014,AMAT,0.127229489,0.076740506,-0.066372765,0.059286464,0.116889549,-0.070509978,0.102337786,-0.064704609,0.022211939,0.088727931,0.036174636,-0.083470625,-0.761274904,20271.15,45,0.234906,0.085829,-0.361156598,-0.421319509,-0.380210885,-0.337722925,-0.300453582
1/31/2014,AMCX,0.179702048,-0.038674033,-0.101395731,-0.057712806,-0.006302521,-0.026345747,0.045181226,-0.06640032,0.038171859,0.069414674,-0.016805427,0.04594637,,4657.81,25,,-0.037651,1.184396541,-0.116305222,-0.116305222,-0.018825694,-0.009412847
1/31/2014,AME,0.077296641,-0.032870023,0.023888134,0.006828528,-0.01507159,-0.068668707,0.087286917,-0.051567813,0.038637722,-0.022818792,0.032770801,-0.089873778,0.181919798,12095.73,20,-0.506235,-0.583729,0.229636633,-0.150053488,-0.238644592,-0.200904566,-0.181531053
1/31/2014,AMG,-0.056163421,0.063812816,-0.009247688,-0.048435923,0.089077413,-0.029941577,0.059723965,-0.051101113,-0.002844879,0.019019971,0.042487352,-0.031662269,0.108536258,10530.27,40,-1.299373,-0.791151,0.200492352,-0.10527974,-0.332670012,-0.34130751,-0.468362937
1/31/2014,AMGN,0.042622951,-0.005482987,-0.093967894,0.037941835,0.02051901,0.07620174,0.094120418,0.007748601,0.154634772,0.019299544,-0.03641643,-0.044133455,0.597562521,89807.25,35,-0.174338,0.684555,0.135058068,0.309203718,0.278694591,0.641058733,0.42633553
1/31/2014,AMP,0.031711473,0.009909166,0.014172799,0.008779002,0.065624723,-0.003333333,0.051505017,-0.018924936,0.022613065,0.044384561,0.003642711,-0.055273831,0.00200014,20551.28,40,-0.701124,0.118675,-0.178808355,0.011560583,-0.111136085,0.060337675,-0.144612082
